x,y,z
-3.034929752,-65.16832733,0.06827001274
-3.039635658,-65.15354156,0.07799999416
-3.0336730480000003,-65.14962006,0.06866000592999999
-3.023811817,-65.16690063,0.06477998197000001
-3.053950548,-65.05879974,0.079910025
-3.001154184,-65.16952515,0.06925998627999999
-3.035748005,-65.08095551,0.06994001567000001
-3.033689022,-65.0681076,0.08189998567000001
-3.020535231,-65.08826447,0.07771001756
-3.032793522,-65.05609894,0.07245998085
-3.033010244,-65.03312683,0.08457998930999999
-2.972460508,-65.16743469,0.07507000864
-3.034865618,-65.00527191,0.0837700218
-3.034053087,-65.00015259,0.07161001861
-3.030903578,-64.97203064,0.07136999071000001
-2.951171875,-65.16439819,0.07560001313999999
-3.029585123,-64.97484589,0.08089999855
-3.00699544,-65.01703644,0.06811998785000001
-3.032574892,-64.95468903,0.07254998386
-3.033978462,-64.95066833,0.07096998394
-3.03393054,-64.93238831,0.07294999062999999
-3.034734249,-64.93036652,0.07973997295
-3.03387928,-64.92356873,0.09062002599
-2.80755496,-65.17041016,0.07482998073
-2.7924530510000003,-65.17209625,0.07524000108
-2.771003485,-65.16845703,0.07204000652
-2.718949556,-65.16462708,0.08262000977999999
-2.716634512,-65.16898346,0.07248000801
-2.675008774,-65.16592407,0.06870000064
-2.673166513,-65.16969299,0.07486997545
-2.656827927,-65.13057709,0.07169000803999999
-2.640598536,-65.16873169,0.07416002452
-2.564192533,-65.13499451,0.06757001579
-2.581175327,-65.08681488,0.06807999312999999
-2.572917461,-65.10574341,0.06797002256
-2.50477314,-65.14604187,0.07139997183999999
-2.4856951240000003,-65.15066528,0.07211999595
-2.426468611,-65.12918091,0.07347999512999999
-2.372369766,-65.15814972,0.0709400028
-2.402376652,-65.0669632,0.07341001927999999
-2.413626194,-65.00827789,0.0690100044
-2.390630722,-65.04104614,0.0689599961
-2.385002136,-65.04909515,0.07366000116
-2.337320805,-65.14859009,0.07182000577
-2.380870104,-65.01468658,0.1173499674
-2.287579536,-65.17446136,0.07464002072999999
-2.27219367,-65.17188263,0.07479999959
-2.255319595,-65.17212677,0.07570998371
-2.2587730880000003,-65.11991882,0.07376001775
-2.293133259,-64.97355652,0.0673699826
-2.238756418,-65.07706451,0.07373999059
-2.242056131,-65.0500946,0.07318000495
-2.226200819,-65.06752014,0.07389001548
-2.269145966,-64.96302795,0.06882999837
-2.186488152,-65.16126251,0.07156001031
-2.234087229,-65.02793121,0.0733499974
-2.195606947,-65.00669098,0.1177000254
-2.097756147,-65.17041779,0.07495997845999999
-2.16033268,-65.01628876,0.1166099757
-2.03040266,-64.95547485,0.1181599945
-2.012717962,-64.97923279,0.1176699847
-2.052382708,-64.87322235,0.1180999726
-2.034393311,-64.90522003,0.1176699847
-1.87829721,-65.07339478,0.08197002113
-1.844005466,-65.06469727,0.08220998943
-1.858549714,-64.89334106,0.1177000254
-1.7969501019999998,-65.0306015,0.08214001357999999
