x,y,z
x,y,z
-0.34248799350000003,-2.7113258060000005,2.075878911
-0.34098698619999995,-2.798025889,2.321972943
-0.33819202369999996,-2.643434982,1.870312985
-0.33731200229999997,-2.720390057,2.113965138
-0.3370050194,-2.6944389900000005,2.057324991
-0.3354900002,-2.675164069,1.98261796
-0.3276990128,-2.703827931,2.114453991
-0.3273150071,-2.760657026,2.284376023
-0.2665269960000001,-2.670190952,2.0246100119999997
-0.2447789882,-2.715191158,2.1588868999999997
-0.24366798360000005,-2.683415914,2.064160981
-0.2397929961,-2.6120299030000003,1.856641006
-0.2393250043,-2.650164106,1.969922096
-0.23617899100000006,-2.70270607,2.1217779249999995
-0.2295920041,-2.755519063,2.275098041
-0.13441400879999998,-2.5887920859999998,1.7863289939999998
-0.1341699942,-2.471060043,1.784864025
-0.1302589965,-2.443314088,1.784864025
-0.12943499430000002,-2.653254796,1.977246939
-0.12942899730000001,-2.617928885,1.8058599380000002
-0.1289770069,-2.501943982,1.785351969
-0.1267649878,-2.6721661469999995,2.0348638830000003
-0.12628899529999998,-2.705796987,2.130567054
-0.1212579974,-2.7387479800000003,2.227734967
-0.1004579957,-2.747307917,2.24873088
-0.09760699982000001,-2.719826171,2.1715829920000003
-0.014921999640000003,-2.549000101,1.7726570149999998
-0.013719000159999998,-2.657149025,1.985058816
-0.013011000279999999,-2.709846967,2.140332981
-0.01299800001,-2.603871053,1.8307620169999999
-0.0111039995,-2.67675,2.043165068
-0.01023700058,-2.762707027,2.296583034
-0.010192000129999998,-2.669549076,2.0236332150000003
-0.005532000191,-2.702814982,2.1212899810000003
0.003185000041,-2.455181857,1.772169071
0.03820899863,-2.7059049900000005,2.124707862
0.1002709951,-2.6785719460000004,2.050976946
0.1016009961,-2.741016033,2.228222911
0.1064629984,-2.714384209,2.150097998
0.1069429985,-2.646540906,1.9538090330000002
0.1098660007,-2.7063388189999995,2.130567054
0.1122140034,-2.597083039,1.817579005
0.1430150007,-2.6767349940000003,2.112989023
0.1473279951,-2.5645158530000005,1.857618031
0.14972800949999998,-2.4237490380000004,1.875195949
0.23417899800000005,-2.600776952,1.82343797
0.4274180014,-2.5788999660000003,1.7726570149999998
0.4285500097,-2.599768095,1.773145073
0.4629709736,-2.536324018,1.7736329030000002
0.4918209697000001,-2.512960918,1.7746100409999999
0.49768902950000005,-2.649876023,1.776562954
0.5562259843999999,-2.4778460099999995,1.7770510110000002
0.5664409740999999,-2.449211024,1.7770510110000002
0.9613489738,-2.749807891,2.313040795
1.025422989,-2.602326049,1.777539978
1.0279819659999998,-2.591791144,1.777539978
1.0742700170000001,-2.527199968000001,1.7790040369999998
1.111275992,-2.470537993,1.7799809480000002
1.1382579709999998,-2.422440048,1.780469006
1.3542680790000003,-2.75192815,2.2993690440000005
1.35622895,-2.7181420139999997,2.205131068
1.357201995,-2.705751058,2.171928145
1.359283033,-2.69690895,2.152395837
1.3603180380000002,-2.679327054,2.112845777
1.36554695,-2.6877039550000004,2.104057103
1.3657189580000002,-2.7119610880000002,2.171928145
1.3658299169999997,-2.741406888,2.252982085
1.3718389480000002,-2.726641014,2.1914590890000003
1.380520985,-2.761608812,2.294485967
1.4035779259999999,-2.7502601369999997,2.264701152
1.4133340759999995,-2.775962002,2.340384981
1.4241929880000002,-2.7743910780000007,2.335502131
