x,y,z
-63.10448074,-3.252551317,0.1201345474
-63.07912827,-3.040252447,0.12296714630000001
-63.07483292,-2.873015642,0.1225009933
-63.11014557,-2.669603825,0.12766666710000002
-63.10541153,-2.491185665,0.1286714226
-63.08456421,-2.303147793,0.12548600140000002
-63.07667923,-2.067427158,0.1100790948
-63.03125,-1.825620651,0.12076499310000001
-63.10761642,-1.648946285,0.11264166980000001
-63.07059479,-1.433098793,0.1084916666
-63.06999969,-1.215302467,0.09638332576
-63.05448914,-1.013074875,0.1041650027
-63.07361221,-0.8853588104000001,0.10448001330000001
-63.08364868,-0.666018486,0.1171425059
-63.02005005,-0.4799222946,0.1297533214
-63.03768539,-0.2554187775,0.1045999974
-63.04127884,-0.8524303436,0.07611712812999999
-63.06080246,-0.6323680878,0.07750000805
-63.04639435,-0.43137550350000003,0.0779800117
-63.05709457,-0.21421051030000002,0.07738997787
-63.02212524,-0.04146385193,0.07707000524
-63.00418472,0.1668224335,0.07723665982000001
-63.00836182,0.27735328670000003,0.07688997686
-63.14053345,-0.9972743987999999,0.07713998109
-63.12457275,-0.7886657715000001,0.07642500103
-63.06064987,-0.6545066833,0.08210665732999999
-63.08996964,-0.47402191159999996,0.07590916008
-63.0500145,-0.251077652,0.07644855231
-63.08826828,-0.0014457702640000001,0.08665056527000001
-62.86222839,-3.2394528389999997,0.11543176320000001
-62.88617706,-3.04822588,0.1073439941
-62.85117339999999,-2.850844383,0.12265181539999999
-62.84372711,-2.632222652,0.1169877723
-62.81443024,-2.443327188,0.1326066703
-62.92983627,-2.1740667819999997,0.1323899925
-62.8923912,-1.992364883,0.1324849874
-62.86975479,-1.8491377830000002,0.1233950034
-62.88350296,-1.6236758230000001,0.118608743
-62.86089325,-1.45973587,0.09845666587000002
-62.8821907,-1.280986786,0.1084477752
-62.89120483,-1.034749985,0.1021266654
-62.85837936,-0.8291168213,0.1062566787
-62.8874588,-0.6649236679,0.1031766683
-62.88380814,-0.48587608340000005,0.09503817558000001
-62.86382675,-0.2727441788,0.1088542864
-62.84091949,-0.11656951900000001,0.128308326
-62.82151413,0.1422996521,0.07739399374
