x,y,z,cluster
-0.21252799350000004,-3.1595028060000003,0.2880849110000001,2
-0.2110269862,-3.246202889,0.5341789429999999,2
-0.2082320237,-3.091611982,0.08251898499999988,2
-0.2073520023,-3.168567057,0.3261711380000001,2
-0.2070450194,-3.1426159900000004,0.2695309910000001,2
-0.20553000020000006,-3.123341069,0.1948239599999999,2
-0.19773901280000006,-3.1520049310000005,0.3266599909999999,2
-0.1973550071,-3.2088340260000003,0.496582023,2
-0.13656699600000013,-3.118367952,0.2368160119999996,2
-0.1148189882,-3.163368158,0.3710928999999996,2
-0.11370798360000005,-3.131592914,0.276366981,2
-0.1098329961,-3.060206903,0.06884700599999992,2
-0.1093650043,-3.0983411060000003,0.1821280959999998,2
-0.10621899100000007,-3.15088307,0.3339839249999994,2
-0.0996320041,-3.203696063,0.487304041,2
-0.004454008799999992,-3.036969086,-0.001465006000000324,2
-0.004209994200000011,-2.9192370430000003,-0.002929975000000029,1
-0.00029899650000000944,-2.891491088,-0.002929975000000029,1
0.0005250056999999697,-3.1014317960000004,0.18945293899999996,2
0.0005310026999999773,-3.066105885,0.018065938000000115,1
0.0009829930999999956,-2.950120982,-0.0024420310000001773,1
0.003195012199999986,-3.120343147,0.2470698830000002,2
0.003671004700000008,-3.153973987,0.34277305399999997,2
0.008702002599999994,-3.18692498,0.4399409669999999,2
0.029502004299999995,-3.195484917,0.46093688,2
0.03235300017999998,-3.168003171,0.38378899200000016,2
0.11503800036,-2.997177101,-0.01513698500000027,1
0.11624099984000001,-3.105326025,0.1972648159999999,2
0.11694899972,-3.158023967,0.3525389809999997,2
0.11696199999000002,-3.052048053,0.04296801699999975,2
0.1188560005,-3.124927,0.2553710679999999,2
0.11972299942,-3.210884027,0.5087890340000001,2
0.11976799987,-3.1177260760000003,0.23583921500000016,2
0.124427999809,-3.150991982,0.3334959810000002,2
0.133145000041,-2.903358857,-0.015624929000000119,1
0.16816899862999998,-3.1540819900000003,0.3369138620000001,2
0.23023099510000003,-3.126748946,0.2631829459999999,2
0.2315609961,-3.189193033,0.4404289109999999,2
0.2364229984,-3.162561209,0.36230399799999996,2
0.23690299850000002,-3.094717906,0.1660150330000001,2
0.2398260007,-3.1545158189999998,0.34277305399999997,2
0.2421740034,-3.045260039,0.02978500499999992,2
0.2729750007,-3.1249119939999996,0.3251950229999998,2
0.2772879951,-3.0126928530000003,0.06982403099999979,2
0.27968800949999995,-2.871926038,0.08740194899999998,1
0.3641389980000001,-3.048953952,0.03564396999999997,2
0.5573780014,-3.027076966,-0.01513698500000027,2
0.5585100097,-3.047945095,-0.014648927000000091,2
0.5929309736,-2.984501018,-0.0141610969999999,1
0.6217809697000001,-2.961137918,-0.013183959000000243,1
0.6276490295,-3.0980530230000003,-0.011231046000000022,1
0.6861859843999999,-2.9260230099999998,-0.010742988999999923,1
0.6964009740999999,-2.897388024,-0.010742988999999923,1
1.0913089738,-3.1979848910000004,0.5252467949999999,2
1.155382989,-3.0505030489999996,-0.01025402200000003,2
1.157941966,-3.039968144,-0.01025402200000003,2
1.2042300170000002,-2.9753769680000013,-0.008789963000000345,1
1.241235992,-2.918714993,-0.007813051999999931,1
1.268217971,-2.870617048,-0.007324994000000196,1
1.4842280790000004,-3.20010515,0.5115750440000004,2
1.48618895,-3.1663190139999995,0.4173370679999999,2
1.487161995,-3.153928058,0.38413414499999976,2
1.4892430330000002,-3.14508595,0.3646018369999997,2
1.4902780380000002,-3.127504054,0.3250517769999999,2
1.49550695,-3.135880955,0.31626310300000005,2
1.4956789580000005,-3.160138088,0.38413414499999976,2
1.4957899169999995,-3.189583888,0.4651880850000001,2
1.5017989480000002,-3.174818014,0.4036650890000002,2
1.510480985,-3.209785812,0.5066919669999999,2
1.533537926,-3.1984371369999995,0.4769071520000001,2
1.5432940759999996,-3.224139002,0.552590981,2
1.5541529880000002,-3.222568078000001,0.547708131,2
1.5737139450000002,-3.211636861,0.5174340080000002,2
1.5803319970000005,-3.1802949910000007,0.482766117,2
2.3046132180000005,-3.161344987,0.4368680119999999,2
2.312723183,-3.124232146,0.2972201030000001,2
2.3160351080000003,-3.13938501,0.3328641100000003,2
2.3188529500000006,-3.1652348960000003,0.3914580780000001,2
2.319952074,-3.17328597,0.41538392799999996,2
2.322885876,-3.19325711,0.4686059659999999,2
2.326922896,-3.1859550039999998,0.4251489449999999,2
2.328823058,-3.1573588989999988,0.3621609799999999,2
2.3358398090000003,-3.1738409900000004,0.40415303299999983,2
2.344414071,-3.210187126,0.512552068,2
2.352054963,-3.201091043,0.4900911869999998,2
2.3558159510000003,-3.135583095,0.3069848930000003,2
2.3633690769999998,-3.180506904,0.4324728789999999,2
2.36416102,-3.214508818,0.5335479809999997,2
2.367924964000001,-3.17982592,0.4397979490000001,2
2.3686421,-3.161872039,0.38657500100000003,2
2.371686861,-3.211291026,0.5286651309999997,2
2.374833031,-3.197684075,0.4744660680000001,2
