Adjusted_X,Adjusted_Y,Adjusted_Z,Slice_Index
-0.206104845,3.502717495,0.262393922,0.0
-0.20508185,3.589225292,0.520108104,1.0
-0.20625908699999998,3.458530664,0.105215691,0.0
-0.202973798,3.538625002,0.361465514,0.0
-0.202823594,3.520869017,0.30191344,0.0
-0.201660648,3.512838602,0.32145083,0.0
-0.20204298199999998,3.4512462619999997,0.085679047,0.0
-0.19977779699999998,3.491456747,0.24285388,0.0
-0.194039568,3.4822945589999996,0.203783482,0.0
-0.11461871900000001,3.466684818,0.188408062,0.0
-0.114042804,3.481239796,0.22842916800000002,0.0
-0.111948729,3.5833325389999997,0.5476468210000001,1.0
-0.10221681699999999,3.532824755,0.388002574,0.0
-0.101432607,3.5143263339999997,0.32845041199999997,0.0
-0.066633604,3.4806358810000004,0.231207356,0.0
-0.05300349,3.533120155,0.391749829,0.0
0.000175218,3.426288605,0.035738356,0.0
0.001584399,3.5392553810000003,0.41647049799999997,0.0
0.006328088000000001,3.503045321,0.295888752,0.0
0.007695863000000001,3.561716318,0.47746101,0.0
0.008005448,3.451438427,0.135783941,0.0
0.025495607000000003,3.516142607,0.33731657299999995,0.0
0.112878837,3.43516016,0.080775887,0.0
0.115359306,3.447487116,0.121282414,0.0
0.116780743,3.5656278130000003,0.486870676,0.0
0.12163974300000001,3.530127764,0.38533181,0.0
0.122102238,3.51199913,0.32431531,0.0
0.122031733,3.491488695,0.263302952,0.0
0.23405511699999998,3.5643661019999997,0.476241201,0.0
0.233846456,3.534139633,0.393755198,0.0
0.23493224399999998,3.4839582439999996,0.22974465800000002,0.0
0.236890197,3.4664325710000004,0.18874143100000002,0.0
0.23829612100000003,3.4158809189999997,0.025706265,0.0
0.255280405,3.5140173439999995,0.33316111600000003,0.0
-0.20793198,3.745265484,1.003833413,2.0
-0.20642889999999997,3.766357899,1.0653284790000002,2.0
-0.205309257,3.629261732,0.65971303,1.0
-0.204944894,3.661551237,0.7402433159999999,1.0
-0.202229023,3.6912879939999996,0.861296356,1.0
-0.200153232,3.632347822,0.6802010540000001,1.0
-0.186409205,3.744991779,1.02671361,2.0
-0.143039942,3.753742695,1.053419232,2.0
-0.125108957,3.701894522,0.8913092020000001,1.0
-0.11287368099999999,3.592782974,0.568147361,1.0
-0.110309355,3.645445585,0.7297022940000001,1.0
-0.108725615,3.734344482,0.995712996,1.0
-0.10903277199999999,3.6912560460000003,0.8727143409999999,1.0
-0.10401921,3.7760515210000003,1.120652199,2.0
-0.095876381,3.7427167889999997,1.018123388,2.0
-0.087537564,3.629030943,0.671541095,1.0
-0.0011866860000000002,3.5989165310000004,0.57852298,1.0
0.002509628,3.683841228,0.845020175,1.0
0.001903328,3.602165937,0.5990175010000001,1.0
0.003771289,3.709828854,0.9275066259999999,1.0
0.0044844659999999995,3.6433436869999998,0.7220112679999999,1.0
0.007450065,3.77560091,1.1158998009999999,2.0
0.009838952,3.629361391,0.681481123,1.0
0.026521012000000004,3.743861675,1.034818172,2.0
0.047423985,3.6510879989999996,0.7472544309999999,1.0
0.10039644699999999,3.737667084,1.002848983,2.0
0.118016422,3.7174985410000003,0.9422672390000001,1.0
0.119180761,3.774089098,1.110658526,2.0
0.118203454,3.609668255,0.6103538270000001,1.0
0.120165385,3.6669132710000003,0.796319783,1.0
0.121240079,3.628216505,0.672334731,1.0
0.12147510800000001,3.634805918,0.692834735,1.0
0.127228916,3.743212223,1.027170539,2.0
0.174034849,3.589995384,0.574062645,1.0
0.18852312899999998,3.613186598,0.637466431,1.0
0.23174572,3.5705749989999997,0.578292429,1.0
0.233183235,3.67225194,0.809133112,1.0
0.23666437,3.6413593289999997,0.705151737,1.0
0.239937633,3.748925447,1.042426467,2.0
0.2441843,3.624089241,0.6641314629999999,1.0
0.245289445,3.7074658869999997,0.915989637,1.0
0.256249845,3.744875431,1.044331431,2.0
0.269100666,3.753249168,1.067229867,2.0
-0.20846535300000002,3.785677433,1.146857023,2.0
-0.201847017,3.8136711119999998,1.230790019,2.0
-0.10737012300000001,3.8281447889999995,1.287109971,2.0
-0.104469985,3.7986843589999997,1.183128953,2.0
-0.09123297,3.8226962089999996,1.26850915,2.0
0.008078213,3.813820124,1.242321014,2.0
0.0119176,3.806218147,1.221319914,2.0
0.11909499800000001,3.8315019610000003,1.302002192,2.0
0.12619324,3.79025054,1.175071597,2.0
0.23584370300000002,3.8400199410000004,1.320659876,2.0
0.23785100899999997,3.8116912839999997,1.234747171,2.0
0.270255476,3.752205133,1.130215406,2.0
-0.212704808,3.974466801,1.6925630569999999,3.0
-0.210192755,3.9241957660000004,1.54417181,3.0
-0.20568656899999999,3.896713495,1.4606914519999998,2.0
-0.205152169,3.8556325439999997,1.334757566,2.0
-0.20291057199999998,3.8568701739999995,1.35574615,2.0
-0.11047597199999999,3.902820826,1.518483281,3.0
-0.110392302,3.856895924,1.3705843690000001,2.0
-0.10834898800000001,3.94681406,1.6473352909999999,3.0
-0.102232441,3.8708598610000005,1.413999557,2.0
0.005162382,3.8554360869999997,1.368748665,2.0
0.005810147,3.914147615,1.5400693419999998,3.0
0.010690606,3.9304482939999996,1.58398068,3.0
0.021539254,3.884052753,1.456555724,2.0
0.06668489400000001,3.9639627930000003,1.70290482,3.0
0.122560821,3.903329849,1.602205753,3.0
0.12532638,3.866832972,1.4098534580000002,2.0
0.128092095,3.9100840089999997,1.540168285,3.0
0.144775942,3.8558990960000004,1.370252728,2.0
0.200187266,3.867865562,1.401311398,2.0
0.235744655,3.906905651,1.601349115,3.0
