k,531.0,-63.05988312,-3.6054878230000003,0.4346288443
k,532.0,-63.06110382,-3.6730942730000002,0.6354141235
k,533.0,-63.05589676,-3.7438218589999996,0.8390319347
k,534.0,-63.04641342,-3.810368299,1.032476902
k,535.0,-63.03855133,-3.88150382,1.241611958
k,536.0,-63.04015732,-3.9511382580000003,1.4432315830000002
k,537.0,-63.05350876,-4.020732403,1.6437158580000002
k,538.0,-63.05693054,-4.086435318,1.8399963380000002
k,539.0,-63.05268097,-4.153139114,2.042665482
k,5310.0,-63.05787659,-4.2218446730000005,2.247406006
k,5311.0,-63.06040955,-4.2874827380000005,2.441009521
k,5312.0,-63.06468964,-4.354816914,2.633797646
k,5313.0,-63.02960587,-4.395518303,2.7498817439999996
k,5314.0,-63.05317307,-4.494889736,3.047784805
k,5315.0,-63.05902481,-4.559310913,3.238607407
k,5316.0,-63.05176544,-4.628311157,3.439369202
k,5317.0,-63.05343628,-4.697810173,3.641588211
k,5318.0,-63.05827332,-4.767579556,3.840866089
k,5319.0,-63.05395508,-4.833851337,4.032365799
k,5320.0,-63.06095886,-4.906194687,4.239196777
k,5321.0,-63.05744171,-4.967985153,4.410636902
k,5322.0,-62.86769867,-3.5826535219999998,0.3663566113
k,5323.0,-62.86169434,-3.647582293,0.5619089603
k,5324.0,-62.86071396,-3.721995115,0.7794857025
k,5325.0,-62.85781097,-3.7929043769999997,0.9833374023
k,5326.0,-62.85001755,-3.8580353260000004,1.1740407940000002
k,5327.0,-62.85350418,-3.9276530739999997,1.37543726
k,5328.0,-62.85814667,-3.9966888430000003,1.575200081
k,5329.0,-62.85703278,-4.06592083,1.77869606
k,5330.0,-62.85393143,-4.12906456,1.969820023
k,5331.0,-62.85445786,-4.193483353,2.1641359330000003
k,5332.0,-62.85676956,-4.264413357,2.374871254
k,5333.0,-62.85181046,-4.333580017,2.576703072
k,5334.0,-62.85842514,-4.3807649610000015,2.714270592
k,5335.0,-62.86035538,-4.479773045,3.006845474
k,5336.0,-62.85364151,-4.534174442,3.169322968
k,5337.0,-62.85216141,-4.605005741,3.374673843
k,5338.0,-62.85732651,-4.674381733,3.575534821
k,5339.0,-62.85509872,-4.744612217,3.776882172
k,5340.0,-62.84744644,-4.813795567,3.974802017
k,5341.0,-62.85730362,-4.881630898,4.16888237
k,5342.0,-62.84662628,-4.953964233,4.376579285
k,5343.0,-62.62840652,-3.580868483,0.35715949539999997
k,5344.0,-62.64389801,-3.652981043,0.5725755692
k,5345.0,-62.66418076,-3.717667103,0.7671434879000001
k,5346.0,-62.67239761,-3.7926054,0.9830455779999999
k,5347.0,-62.67372894,-3.8560614589999997,1.168606281
k,5348.0,-62.65573883,-3.927769661,1.3763165469999998
k,5349.0,-62.65669250000001,-3.997151375,1.577031136
k,5350.0,-62.64982605,-4.060999393,1.764305115
k,5351.0,-62.6623764,-4.128321648,1.96931839
k,5352.0,-62.652019499999994,-4.196225643,2.173832893
k,5353.0,-62.65071487,-4.262955666,2.37308979
k,5354.0,-62.65583038,-4.333413601,2.578728676
k,5355.0,-62.65276337,-4.382319927,2.720020294
k,5356.0,-62.64670563,-4.4814548489999995,3.0148525239999997
k,5357.0,-62.65789413,-4.536326885,3.1783752439999997
k,5358.0,-62.65159988,-4.601941109,3.369216919
k,5359.0,-62.66617584,-4.671803951,3.569498062
k,5360.0,-62.65520096,-4.741569042,3.7682209010000003
k,5361.0,-62.65008545,-4.813366413,3.973575592
k,5362.0,-62.65164948,-4.880687237,4.165311813
k,5363.0,-62.65214539,-4.9507260319999995,4.3666172030000014
k,5364.0,-62.45995331,-3.586791039,0.375854969
k,5365.0,-62.44901657,-3.649929047,0.5672459602000001
k,5366.0,-62.43941879,-3.718384027,0.7678389549
k,5367.0,-62.43800735,-3.788131714,0.9673218726999999
k,5368.0,-62.42292404,-3.855824471,1.166885853
k,5369.0,-62.4548645,-3.9250481130000003,1.3686976430000002
k,5370.0,-62.49160004,-4.000065327,1.5864486690000001
k,5371.0,-62.47481918,-4.064433575,1.7759351730000001
k,5372.0,-62.47449875,-4.129659653,1.974155426
k,5373.0,-62.45539856,-4.19551754,2.1739254
k,5374.0,-62.46826553,-4.264208317,2.379925728
k,5375.0,-62.463584899999994,-4.332322121,2.578269958
k,5376.0,-62.47210312,-4.381665707,2.7248210910000004
k,5377.0,-62.45651627,-4.480294703999999,3.015714645
k,5378.0,-62.464077,-4.532696724,3.170310974
k,5379.0,-62.46711349,-4.603692055,3.3759956360000003
k,5380.0,-62.46816254,-4.670163155,3.5670280460000003
k,5381.0,-62.45715714,-4.743878365,3.77604866
k,5382.0,-62.45424271,-4.812422752,3.971616745
k,5383.0,-62.45071793,-4.881891251,4.168371201
k,5384.0,-62.45811462,-4.953359604,4.375091553
k,5385.0,-62.22854233,-3.585573912,0.371065855
k,5386.0,-62.22571182,-3.652009487,0.5712602139
k,5387.0,-62.23821259,-3.723963737,0.7843236923000001
k,5388.0,-62.24763489,-3.789521694,0.9737138748
k,5389.0,-62.25283813,-3.860446692,1.180419445
k,5390.0,-62.26504135,-3.9282031060000002,1.376213074
k,5391.0,-62.25637436,-3.996989012,1.575582504
k,5392.0,-62.25496292,-4.062701225,1.771430969
k,5393.0,-62.23843384,-4.133804321,1.982943535
k,5394.0,-62.23737335,-4.196627617,2.177951813
k,5395.0,-62.258304599999995,-4.266294956,2.386278152
k,5396.0,-62.26696777,-4.3376364710000015,2.589903831
k,5397.0,-62.25980377,-4.383587837,2.726641655
k,5398.0,-62.27261353,-4.484484196,3.027080536
