PointID1,PointID2,PointID3
511389,511419,511390
511419,511420,511390
511419,511450,511420
511450,511451,511420
511450,511478,511451
511478,511479,511451
511478,511510,511479
511510,511480,511479
511510,511511,511480
511511,511512,511480
511512,511481,511480
511512,511513,511481
511513,511482,511481
511513,511975,511482
511975,511974,511482
511513,511976,511975
511513,511977,511976
511513,511544,511977
511544,511978,511977
511544,511575,511978
511575,511979,511978
511575,511638,511979
511638,511669,511979
511669,511980,511979
511669,511981,511980
511669,511700,511981
511700,511731,511981
511731,511982,511981
511731,511983,511982
511700,511699,511731
511699,511730,511731
511699,511698,511730
511698,511729,511730
511698,511697,511729
511697,511728,511729
511697,511727,511728
511727,511761,511728
511727,511760,511761
511760,512021,511761
512021,512020,511761
512020,512019,511761
511760,512022,512021
511760,511759,512022
511759,512023,512022
511759,511758,512023
511758,512024,512023
511758,511757,512024
511757,512025,512024
511757,511756,512025
511756,512026,512025
511756,511755,512026
511755,512027,512026
511755,511754,512027
511754,512028,512027
511754,511753,512028
511753,512029,512028
511753,511752,512029
511752,512030,512029
511752,511751,512030
511751,512031,512030
511751,511747,512031
511747,511750,512031
511750,512032,512031
511750,511749,512032
511749,512033,512032
511749,511746,512033
511746,511745,512033
511745,512034,512033
511745,511744,512034
511744,512035,512034
511744,511743,512035
511743,512036,512035
511743,511742,512036
511742,512037,512036
511742,511741,512037
511741,512038,512037
511741,511740,512038
511740,511739,512038
511739,512039,512038
511739,512040,512039
511739,511738,512040
511738,512041,512040
511738,511737,512041
511737,512042,512041
511737,511736,512042
511736,512043,512042
511736,511735,512043
511735,512044,512043
511735,511734,512044
511734,512045,512044
511734,511733,512045
511733,512046,512045
511733,511732,512046
511732,511918,512046
511732,511917,511918
511732,511916,511917
511732,511701,511916
511701,511915,511916
511701,511670,511915
511670,511639,511915
511639,511914,511915
511639,511608,511914
511608,511913,511914
511608,511545,511913
511545,511912,511913
511545,511911,511912
511545,511514,511911
511514,511910,511911
511514,511483,511910
511483,511452,511910
511452,511909,511910
511452,511908,511909
511452,511421,511908
511421,511907,511908
511421,511391,511907
511391,511906,511907
511391,511361,511906
511361,511905,511906
511361,511330,511905
511330,511306,511905
511306,511904,511905
511306,511903,511904
511306,511279,511903
511279,511902,511903
511279,511216,511902
511216,511901,511902
511216,511185,511901
511185,511900,511901
511185,511154,511900
511154,511899,511900
511154,511123,511899
511123,511898,511899
511123,511092,511898
511092,511061,511898
511061,511897,511898
511061,511896,511897
511061,511030,511896
511030,51999,511896
51999,511895,511896
51999,51968,511895
51968,511894,511895
51968,511893,511894
51968,51943,511893
51943,511892,511893
51943,51889,511892
51889,511891,511892
51889,511890,511891
51889,51858,511890
51858,511889,511890
51858,51827,511889
51827,511888,511889
51827,51796,511888
51796,511887,511888
51796,51765,511887
51765,511886,511887
51765,51734,511886
51734,511885,511886
