PointID1,PointID2,PointID3
521,522,521325
521325,521354,521
521354,521355,521
521355,521356,521
521356,5222,521
5222,522,521
5222,5223,522
5223,523,522
523,521326,522
521326,521325,522
521326,521304,521325
521304,521353,521325
521353,521354,521325
521304,521283,521353
521283,521352,521353
521283,521351,521352
521283,521262,521351
521262,521115,521351
521115,521350,521351
521115,521349,521350
521115,52884,521349
52884,521348,521349
52884,52653,521348
52653,521347,521348
52653,52422,521347
52422,521499,521347
521499,521346,521347
52422,521498,521499
52422,52423,521498
52423,521497,521498
52423,52424,521497
52424,52211,521497
52211,521496,521497
52211,521495,521496
52211,52425,521495
52425,52426,521495
52426,521494,521495
52426,52427,521494
52427,521493,521494
52427,52428,521493
52428,521492,521493
52428,52429,521492
52429,521491,521492
52429,52430,521491
52430,521490,521491
52430,52431,521490
52431,521489,521490
52431,52432,521489
52432,521488,521489
52432,52433,521488
52433,521487,521488
52433,52434,521487
52434,521486,521487
52434,52435,521486
52435,521485,521486
52435,52436,521485
52436,521484,521485
52436,52437,521484
52437,521483,521484
52437,52438,521483
52438,521482,521483
52438,52439,521482
52439,521481,521482
52439,521480,521481
52439,52440,521480
52440,521479,521480
52440,52441,521479
52441,521478,521479
52441,52442,521478
52442,521412,521478
52442,521413,521412
52442,521414,521413
52442,52673,521414
52673,52904,521414
52904,521415,521414
52904,521416,521415
52904,521135,521416
521135,521282,521416
521282,521417,521416
521282,521418,521417
521282,521303,521418
521303,521324,521418
521324,521419,521418
521324,521420,521419
521324,521345,521420
521345,521421,521420
521345,5221,521421
5221,5242,521421
5242,521422,521421
5242,5263,521422
5263,521423,521422
5263,521424,521423
5263,5284,521424
5284,52105,521424
52105,521425,521424
52105,521426,521425
52105,52126,521426
52126,52147,521426
52147,521427,521426
52147,52168,521427
52168,521428,521427
52168,52189,521428
52189,521429,521428
52189,521430,521429
52189,52210,521430
52210,52232,521430
52232,521431,521430
52232,521432,521431
52232,52253,521432
52253,52274,521432
52274,521433,521432
52274,521434,521433
52274,52295,521434
52295,521435,521434
52295,52316,521435
52316,52337,521435
52337,521436,521435
52337,521437,521436
52337,52358,521437
52358,52379,521437
52379,521438,521437
52379,521439,521438
52379,52400,521439
52400,521440,521439
52400,52421,521440
52421,52463,521440
52463,521441,521440
52463,521442,521441
52463,52484,521442
52484,52505,521442
52505,521443,521442
52505,521444,521443
52505,52526,521444
52526,521445,521444
52526,52547,521445
52547,521446,521445
52547,52568,521446
52568,521447,521446
52568,52589,521447
52589,52610,521447
52610,521448,521447
52610,52631,521448
52631,521449,521448
52631,521450,521449
52631,52652,521450
52652,521451,521450
52652,52694,521451
52694,52715,521451
52715,521452,521451
52715,521453,521452
52715,52736,521453
52736,521454,521453
52736,52757,521454
52757,521455,521454
52757,52778,521455
52778,521456,521455
52778,52799,521456
52799,521457,521456
52799,52820,521457
52820,521458,521457
52820,52841,521458
52841,52862,521458
52862,521459,521458
52862,521460,521459
52862,52883,521460
52883,521461,521460
52883,52925,521461
52925,521462,521461
52925,52946,521462
52946,52967,521462
52967,521463,521462
52967,521464,521463
52967,52988,521464
52988,521009,521464
521009,521465,521464
521009,521030,521465
521030,521466,521465
521030,521051,521466
521051,521467,521466
521051,521468,521467
521051,521072,521468
521072,521093,521468
521093,521469,521468
521093,521114,521469
521114,521470,521469
521114,521156,521470
521156,521471,521470
521156,521472,521471
521156,521177,521472
521177,521473,521472
521177,521198,521473
521198,521219,521473
521219,521474,521473
521219,521240,521474
521240,521475,521474
521240,521476,521475
521240,521261,521476
521261,521477,521476
521261,521500,521477
521261,521260,521500
521260,521501,521500
521260,521259,521501
521259,521502,521501
521259,521258,521502
521258,521503,521502
521258,521257,521503
521257,521504,521503
521257,521505,521504
521257,521256,521505
521256,521506,521505
521256,521255,521506
521255,521507,521506
521255,521254,521507
521254,521508,521507
521254,521253,521508
521253,521509,521508
521253,521252,521509
521252,521510,521509
521252,521251,521510
521251,521511,521510
521251,521250,521511
521250,521512,521511
521250,521249,521512
521249,521513,521512
521249,521248,521513
521248,521514,521513
521248,521247,521514
521247,521515,521514
521247,521246,521515
521246,521516,521515
521246,521245,521516
521245,521517,521516
521245,521244,521517
521244,521518,521517
521244,521243,521518
521243,521519,521518
521243,521242,521519
521242,521520,521519
521242,521241,521520
521241,521521,521520
521241,521410,521521
521410,521411,521521
521241,521409,521410
521241,521220,521409
521220,521199,521409
521199,521408,521409
521220,521221,521199
521221,521200,521199
521200,521178,521199
521200,521179,521178
521179,521158,521178
521158,521157,521178
521157,521406,521178
521406,521407,521178
521157,521405,521406
521157,521136,521405
521136,521404,521405
521136,521094,521404
521094,521403,521404
521094,521073,521403
521073,521052,521403
521052,521402,521403
521052,521401,521402
521052,521031,521401
521031,521400,521401
521031,521010,521400
521010,521399,521400
521010,52989,521399
52989,521398,521399
52989,52968,521398
52968,521397,521398
52968,52947,521397
52947,521396,521397
52947,52926,521396
52926,521395,521396
52926,52905,521395
52905,521394,521395
52905,52863,521394
52863,521393,521394
52863,52842,521393
52842,521392,521393
52842,52821,521392
52821,521391,521392
52821,52800,521391
52800,521390,521391
52800,52779,521390
52800,52801,52779
52801,52780,52779
52780,52759,52779
52759,52758,52779
52759,52738,52758
52738,52737,52758
52737,521389,52758
52737,521388,521389
52737,521387,521388
52737,52716,521387
52716,521386,521387
52716,52695,521386
52695,52674,521386
52674,521385,521386
52674,521384,521385
52674,52632,521384
52632,521383,521384
52632,52611,521383
52611,52590,521383
52590,521382,521383
52590,521381,521382
52590,52569,521381
52569,52548,521381
52548,521380,521381
52548,521379,521380
52548,52527,521379
52527,521378,521379
52527,52506,521378
52506,521377,521378
52506,52485,521377
52485,52464,521377
52464,521376,521377
52464,521375,521376
52464,52443,521375
52443,521374,521375
52443,52401,521374
52401,52380,521374
52380,521373,521374
52380,521372,521373
52380,52359,521372
52359,52338,521372
52338,521371,521372
52338,521370,521371
52338,52317,521370
52317,52296,521370
52296,521369,521370
52296,521368,521369
52296,52275,521368
52275,521367,521368
52275,52254,521367
52254,52233,521367
52233,521366,521367
52233,521365,521366
52233,52212,521365
52212,521364,521365
52212,52190,521364
52190,521363,521364
52190,52169,521363
52169,521362,521363
52169,52148,521362
52148,52127,521362
52127,521361,521362
52127,52106,521361
52106,521360,521361
52106,521359,521360
