id,x,y,z
11,0.0008046064177,3.497686863,0.2702778578
12,0.0141359847,3.644397736,0.7237899303
13,0.02363692224,3.807713985,1.222770929
14,0.027023801580000003,3.975408554,1.741935372
15,0.012386620039999999,4.148095608,2.268737078
16,-0.009011791088000001,4.306982517,2.75225234
17,0.008652117103,4.466264725,3.2394073010000004
18,0.03329924494,4.624804974,3.720020533
19,0.009892616421,4.802628994,4.254790306
110,0.130380109,4.874337196,4.512250423
111,0.5331741571,3.57812953,0.5587591529
112,0.5247747897999999,3.724081755,0.9824236631000001
113,0.5409706235,3.8741235730000003,1.437629819
114,0.5371749401,4.04720974,1.9647696019999998
115,0.5185322762,4.210390568,2.461915255
116,0.5065472722,4.363780975,2.93181324
117,0.5365975499,4.527569294,3.438385725
118,0.5247608423,4.668923855,3.873166323
119,0.5308051705,4.854884623999999,4.439763546
120,4.97333622,3.599578381,0.6086821556
121,5.0318169589999995,3.7680208680000002,1.114155531
122,5.080665112,3.900396347,1.521439314
123,5.0798578260000005,4.073802948,2.053299189
124,5.017093658,4.237793922,2.5466628069999997
125,4.923260689,4.406360149,3.067866325
126,4.921412945,4.5792880060000005,3.596313953
127,4.932586193000001,4.683250427,3.910919905
128,4.945647717,4.860737324,4.448453903
129,5.4617300029999996,3.5900094510000002,0.5780789256000001
130,5.51167345,3.7606682780000003,1.090815067
131,5.554427147,3.90423131,1.531619787
132,5.538938999,4.082398891,2.07472229
133,5.5206851960000005,4.235773563,2.54003334
134,5.597941399,4.391355515,3.0216364860000002
135,5.689919949,4.560203552,3.5318007469999997
136,5.7619390489999995,4.677694798,3.8843252660000003
137,5.64799118,4.845809937,4.393073082
138,6.063547133999999,3.605262041,0.6302859783
139,6.039278984,3.76200223,1.0965226890000002
140,6.051034927000001,3.905554056,1.536311865
141,6.03589344,4.07805872,2.063373089
142,6.0468358989999995,4.266266346,2.637735128
143,6.04093504,4.420754433,3.1088995930000003
144,6.024251938,4.570691586000001,3.5627386569999997
145,6.055130005,4.689678669,3.9300718310000002
146,6.079397677999999,4.854644775,4.425247669
147,6.589205265,3.797218323,1.209166646
148,6.501142502,3.939641953,1.646802783
149,6.507357597,4.098948956,2.134114742
150,6.55828619,4.275419712,2.67009306
151,6.529366016,4.445585728,3.192141533
152,6.51538229,4.606043816000001,3.674746513
153,6.513403416,4.720589638,4.027467251
154,6.505790234,4.862264156,4.442843437
155,7.0192961689999995,3.7165277000000003,0.9593399167000001
156,7.035644531,3.849409342,1.363180399
157,7.026342869,4.025012016,1.902599692
158,7.023050785,4.1882619860000005,2.40403676
159,7.039325713999999,4.349915028,2.897528172
160,7.027793883999999,4.501764774,3.363847256
161,7.020641327000001,4.662677765,3.84191227
162,7.00625658,4.863427162,4.444464684
163,7.539150715,3.7306938169999997,0.9984074234999999
164,7.506593704,3.8714876169999997,1.4317775959999999
165,7.529787064,4.038013935,1.94199121
166,7.511777877999999,4.19659853,2.43066597
167,7.549520492999999,4.370726585,2.962591648
168,7.51824379,4.531039238,3.4500896930000002
169,7.530276775,4.66377306,3.8469941619999997
170,7.565321922000001,4.863687992,4.436956882
171,7.978524685,3.7401666639999998,1.0303075309999998
172,8.016299248,3.8673059939999996,1.4188058380000002
173,8.001757622000001,4.041942596,1.956795335
174,8.020895957999999,4.214858532,2.489665031
175,8.038103104,4.376935959,2.979447126
176,7.9957714079999995,4.54847765,3.496581078
177,8.049926758,4.671498299,3.866015673
178,8.0300951,4.859728813,4.431922913
179,8.532343864,3.757963657,1.091350317
180,8.523720741,3.9041395189999997,1.543260932
181,8.528646469,4.0738091469999995,2.0668654440000003
182,8.573437691,4.238395214,2.569182873
183,8.551498413,4.401872158,3.068524837
184,8.518109322,4.572022915,3.57868886
185,8.565280914,4.685894011999999,3.92357564
186,8.518024445,4.863957882,4.451577663
