Original_X,Original_Y,Original_Z,Adjusted_X,Adjusted_Y,Adjusted_Z,Slice_Index
-11.112613677978516,-2.163137197494507,0.13991998136043549,-11.112613677978516,3.836862802505493,0.13991998136043549,6
-11.05377197265625,-2.1716203689575195,0.1402900069952011,-11.05377197265625,3.8283796310424805,0.1402900069952011,6
-11.044330596923828,-2.1764893531799316,0.14016000926494598,-11.044330596923828,3.8235106468200684,0.14016000926494598,6
-11.165088653564453,-2.25992488861084,0.13976000249385834,-11.165088653564453,3.74007511138916,0.13976000249385834,6
-11.160053253173828,-2.2619645595550537,0.13542000949382782,-11.160053253173828,3.7380354404449463,0.13542000949382782,6
-11.160751342773438,-2.2669172286987305,0.13943998515605927,-11.160751342773438,3.7330827713012695,0.13943998515605927,6
-11.124435424804688,-2.270875930786133,0.13972000777721405,-11.124435424804688,3.729124069213867,0.13972000777721405,6
-11.11349105834961,-2.272913694381714,0.1400199979543686,-11.11349105834961,3.727086305618286,0.1400199979543686,6
-11.131465911865234,-2.3005518913269043,0.10106001794338226,-11.131465911865234,3.6994481086730957,0.10106001794338226,6
-11.038459777832031,-2.2644011974334717,0.13127999007701874,-11.038459777832031,3.7355988025665283,0.13127999007701874,6
-11.051498413085938,-2.2790539264678955,0.08865998685359955,-11.051498413085938,3.7209460735321045,0.08865998685359955,6
-11.050018310546875,-2.288367509841919,0.08645997941493988,-11.050018310546875,3.711632490158081,0.08645997941493988,6
-11.032806396484375,-2.282572031021118,0.1311499923467636,-11.032806396484375,3.717427968978882,0.1311499923467636,6
-11.11444091796875,-2.317770481109619,0.10160999000072479,-11.11444091796875,3.682229518890381,0.10160999000072479,6
-11.047000885009766,-2.2910659313201904,0.11841998994350433,-11.047000885009766,3.7089340686798096,0.11841998994350433,6
-11.15182113647461,-2.337230682373047,0.10211001336574554,-11.15182113647461,3.662769317626953,0.10211001336574554,6
-11.157051086425781,-2.340207099914551,0.10225997865200043,-11.157051086425781,3.659792900085449,0.10225997865200043,6
-11.064430236816406,-2.314704656600952,0.14848999679088593,-11.064430236816406,3.685295343399048,0.14848999679088593,6
-10.989879608154297,-2.291757345199585,0.1356699913740158,-10.989879608154297,3.708242654800415,0.1356699913740158,6
-11.045207977294922,-2.3169281482696533,0.10677002370357513,-11.045207977294922,3.6830718517303467,0.10677002370357513,6
-10.995655059814453,-2.3102195262908936,0.10251002013683319,-10.995655059814453,3.6897804737091064,0.10251002013683319,6
-11.032512664794922,-2.3315658569335938,0.12963001430034637,-11.032512664794922,3.6684341430664062,0.12963001430034637,6
-11.04556655883789,-2.34450364112854,0.11055998504161835,-11.04556655883789,3.65549635887146,0.11055998504161835,6
-11.04372787475586,-2.3566765785217285,0.13092999160289764,-11.04372787475586,3.6433234214782715,0.13092999160289764,6
