X,Y,Z,Slice_Index,Adjusted_X,Adjusted_Y,Adjusted_Z
-0.21159358322620392,-3.159179925918579,0.2922820448875427,0.0,-0.21159358322620392,-3.159179925918579,0.2922820448875427
-0.2092999964952469,-3.2456064224243164,0.538466215133667,0.0,-0.2092999964952469,-3.2456064224243164,0.538466215133667
-0.20795969665050507,-3.091517925262451,0.08662794530391693,0.0,-0.20795969665050507,-3.091517925262451,0.08662794530391693
-0.2062949687242508,-3.1682019233703613,0.3303614556789398,0.0,-0.2062949687242508,-3.1682019233703613,0.3303614556789398
-0.20617040991783142,-3.1423139572143555,0.2736917734146118,0.0,-0.20617040991783142,-3.1423139572143555,0.2736917734146118
-0.2048960030078888,-3.123121976852417,0.1989588588476181,0.0,-0.2048960030078888,-3.123121976852417,0.1989588588476181
-0.19668048620224,-3.151639223098755,0.3308009207248688,0.0,-0.19668048620224,-3.151639223098755,0.3308009207248688
-0.1957492083311081,-3.2082793712615967,0.5007839202880859,0.0,-0.1957492083311081,-3.2082793712615967,0.5007839202880859
-0.1357981413602829,-3.1181023120880127,0.24072307348251343,0.0,-0.1357981413602829,-3.1181023120880127,0.24072307348251343
-0.11361778527498245,-3.1629531383514404,0.3749791979789734,0.0,-0.11361778527498245,-3.1629531383514404,0.3749791979789734
-0.1128118708729744,-3.1312832832336426,0.28021490573883057,0.0,-0.1128118708729744,-3.1312832832336426,0.28021490573883057
-0.10960525274276733,-3.0601282119750977,0.07260426133871078,0.0,-0.10960525274276733,-3.0601282119750977,0.07260426133871078
-0.10877242684364319,-3.0981364250183105,0.18592560291290283,0.0,-0.10877242684364319,-3.0981364250183105,0.18592560291290283
-0.10513734817504883,-3.1505093574523926,0.3378288745880127,0.0,-0.10513734817504883,-3.1505093574523926,0.3378288745880127
-0.0980566069483757,-3.2031519412994385,0.49118563532829285,0.0,-0.0980566069483757,-3.2031519412994385,0.49118563532829285
-0.0044532641768455505,-3.036968946456909,0.0019274839432910085,0.0,-0.0044532641768455505,-3.036968946456909,0.0019274839432910085
0.0011406060075387359,-3.1012191772460938,0.19289998710155487,0.0,0.0011406060075387359,-3.1012191772460938,0.19289998710155487
0.0039961631409823895,-3.1200664043426514,0.25052905082702637,0.0,0.0039961631409823895,-3.1200664043426514,0.25052905082702637
0.004780382849276066,-3.153590679168701,0.3462675213813782,0.0,0.004780382849276066,-3.153590679168701,0.3462675213813782
0.010124299675226212,-3.1864335536956787,0.4434553384780884,0.0,0.010124299675226212,-3.1864335536956787,0.4434553384780884
0.030991816893219948,-3.1949703693389893,0.464393675327301,0.0,0.030991816893219948,-3.1949703693389893,0.464393675327301
0.03359432891011238,-3.167574405670166,0.387206494808197,0.0,0.03359432891011238,-3.167574405670166,0.387206494808197
-0.21204470098018646,-3.4454469680786133,1.1358689069747925,0.0,-0.21204470098018646,-3.4454469680786133,1.1358689069747925
-0.22529365122318268,-3.4058055877685547,0.9976837635040283,0.0,-0.22529365122318268,-3.4058055877685547,0.9976837635040283
-0.2104087620973587,-3.4259393215179443,1.0582045316696167,0.0,-0.2104087620973587,-3.4259393215179443,1.0582045316696167
-0.21057724952697754,-3.269299268722534,0.6141812205314636,0.0,-0.21057724952697754,-3.269299268722534,0.6141812205314636
-0.20959439873695374,-3.365262746810913,0.9023723006248474,0.0,-0.20959439873695374,-3.365262746810913,0.9023723006248474
-0.20960195362567902,-3.3542587757110596,0.8447428345680237,0.0,-0.20960195362567902,-3.3542587757110596,0.8447428345680237
-0.20963680744171143,-3.315598964691162,0.748507559299469,0.0,-0.20963680744171143,-3.315598964691162,0.748507559299469
-0.2096853405237198,-3.280771493911743,0.6337221264839172,0.0,-0.2096853405237198,-3.280771493911743,0.6337221264839172
-0.20093123614788055,-3.342419385910034,0.8837640881538391,0.0,-0.20093123614788055,-3.342419385910034,0.8837640881538391
-0.1931166797876358,-3.2653963565826416,0.6727149486541748,0.0,-0.1931166797876358,-3.2653963565826416,0.6727149486541748
-0.1654927134513855,-3.401061773300171,1.0634042024612427,0.0,-0.1654927134513855,-3.401061773300171,1.0634042024612427
-0.11244392395019531,-3.310351610183716,0.7979941368103027,0.0,-0.11244392395019531,-3.310351610183716,0.7979941368103027
-0.11179962009191513,-3.27107834815979,0.6822245121002197,0.0,-0.11179962009191513,-3.27107834815979,0.6822245121002197
-0.10858643800020218,-3.384474992752075,1.0133970975875854,0.0,-0.10858643800020218,-3.384474992752075,1.0133970975875854
-0.10180641710758209,-3.391559362411499,1.0338915586471558,0.0,-0.10180641710758209,-3.391559362411499,1.0338915586471558
-0.10268940031528473,-3.2897226810455322,0.7412981390953064,0.0,-0.10268940031528473,-3.2897226810455322,0.7412981390953064
-0.10172677785158157,-3.2559893131256104,0.6445781588554382,0.0,-0.10172677785158157,-3.2559893131256104,0.6445781588554382
-0.07504887133836746,-3.3853704929351807,1.0181732177734375,0.0,-0.07504887133836746,-3.3853704929351807,1.0181732177734375
-0.06513730436563492,-3.3523411750793457,0.9214240312576294,0.0,-0.06513730436563492,-3.3523411750793457,0.9214240312576294
0.006705096922814846,-3.347062110900879,0.8990707397460938,0.0,0.006705096922814846,-3.347062110900879,0.8990707397460938
0.007074872963130474,-3.349715232849121,0.911422610282898,0.0,0.007074872963130474,-3.349715232849121,0.911422610282898
0.008291485719382763,-3.397069215774536,1.0501439571380615,0.0,0.008291485719382763,-3.397069215774536,1.0501439571380615
0.007558584213256836,-3.2880020141601562,0.7345942854881287,0.0,0.007558584213256836,-3.2880020141601562,0.7345942854881287
